,airline,duration,departureTime,flightRange,count
382,WESTJET ENCORE LTD.,moyen,après-midi,International,1
383,WESTJET,moyen,nuit,Quebec,75
384,AIR TRANSAT,moyen,nuit,Canada,43
385,AIR TRANSAT,moyen,nuit,Quebec,34
386,WESTJET ENCORE LTD.,court,matin,Quebec,1
387,AIR TRANSAT,moyen,matin,Canada,31
388,AIR TRANSAT,moyen,matin,Quebec,31
389,REPUBLIC AIRWAYS INC,court,nuit,Canada,2
390,AIR FRANCE,court,nuit,Canada,1
391,PORTER AIRLINES INC.,court,nuit,International,3
392,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,moyen,après-midi,Quebec,2
393,WELLS FARGO TRUST CO NA TRUSTEE,moyen,après-midi,International,6
394,WESTJET,court,après-midi,International,1
395,FLAIR AIRLINE,moyen,soire,International,1
396,AIR CANADA,long,matin,Canada,6
397,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,moyen,matin,Quebec,2
398,PORTER AIRLINES INC.,moyen,après-midi,International,1
399,AIR CANADA,long,nuit,Canada,1
400,AIR TRANSAT,long,nuit,Quebec,2
401,FLAIR AIRLINE,moyen,nuit,International,2
402,FLAIR AIRLINE,moyen,après-midi,Quebec,45
403,FLAIR AIRLINE,moyen,soire,Quebec,38
404,FLAIR AIRLINE,moyen,matin,Quebec,1
405,AIR TRANSAT,court,après-midi,Quebec,5
406,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,moyen,nuit,Quebec,1
407,WELLS FARGO TRUST CO NA TRUSTEE,long,après-midi,International,1
408,SUNWING AIRLINES INC.,court,nuit,Quebec,1
409,OTHERS,long,nuit,Canada,1
410,AIRSPRINT INC.,moyen,soire,Canada,1
411,FLAIR AIRLINE,moyen,nuit,Quebec,2
412,SUNWING AIRLINES INC.,moyen,après-midi,Canada,3
413,WESTJET ENCORE LTD.,court,nuit,Quebec,1
414,AIRSPRINT INC.,long,matin,Canada,1
415,REPUBLIC AIRWAYS INC,court,après-midi,Canada,1
416,REPUBLIC AIRWAYS INC,court,soire,Canada,1
417,WELLS FARGO TRUST CO NA TRUSTEE,long,soire,International,2
418,SUNWING AIRLINES INC.,long,nuit,International,1
419,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,court,nuit,Quebec,1
420,SUNWING AIRLINES INC.,moyen,après-midi,Quebec,1
421,SUNWING AIRLINES INC.,moyen,soire,Canada,1
422,SUNWING AIRLINES INC.,moyen,soire,Quebec,2
423,OTHERS,long,soire,Quebec,2
424,WESTJET ENCORE LTD.,moyen,matin,International,2
425,AIR FRANCE,court,soire,Quebec,2
426,WESTJET ENCORE LTD.,long,matin,International,1
